0;Chuck Norris once kicked a horse in the chin. Its descendants today are known as giraffes.;1;0
1;Chuck Norris has already been to Mars. That's why there are no signs of life.;1;2
2;When Chuck Norris works out he doesn't get stronger, the machine does.;2;1
3;The concept of algorithm has existed for centuries. It was used by Greek mathematicians , and the term derives from the 9th Century mathematician Mu?ammad ibn M?s? al'Khw?rizm? latinized 'Algoritmi';0;3
4;An algorithm is an effective method that can be expressed within a finite amount of space and time and in a well-defined formal language for calculating a function.;2;3
5;For Euclid's method to succeed, the starting lengths must satisfy two requirements: (i) the lengths must not be zero, AND (ii) the subtraction must be proper.;4;5
6;Euclid's original proof adds a third requirement: the two lengths must not be prime to one another.;0;5
7;Cats are similar in anatomy to the other felids.;3;6
8;Cats can hear sounds too faint or too high in frequencyfor human ears.;3;6
9;Since cats were venerated in ancient Egypt, they were commonly believed to have been domesticated there.;2;7
10;The cat skull is unusual among mammals in having very large eye sockets and a powerful and specialized jaw.;3;6
